EducationalInstitution,Settlement,City,State,areaCode,postalCode
University of the Ozarks,415 N College Ave,Clarksville,Arkansas,72830,479
University of the Pacific,3601 Pacific Ave,Stockton,California,95211,209
University of the Sacred Heart,"Calle Rosales Esq San Antonio Pda 26 1/2, P.O. Box 12383",San Juan,Puerto Rico,907,787
University of the Sciences,600 S 43rd St,Philadelphia,Pennsylvania,19104,215
University of the Southwest,6610 Lovington Hwy,Hobbs,New Mexico,88240,505
University of the Virgin Islands,2 John Brewers Bay,Charlotte Amalie,Virgin Islands,802,340
University of the West,1409 N. Walnut Grove Avenue,Rosemead,California,90066,
Upper Iowa University,605 Washington St,Fayette,Iowa,52142,563
Urbana University,579 College Way,Urbana,Ohio,43078,937
Ursinus College,601 E. Main St,Collegeville,Pennsylvania,19426,610
Ursuline College,2550 Lander Rd,Pepper Pike,Ohio,44124,440
Utah State University,Old Main Hill,Logan,Utah,84322,435
Utah Valley University,800 W University Parkway,Orem,Utah,84058,801
Utica College,1600 Burrstone Rd,Utica,New York,13502,315
Valdosta State University,1500 N Patterson,Valdosta,Georgia,31698,912
Valley City State University,101 SW College St.,Valley City,North Dakota,58072,701
Valley Forge Christian College,1401 Charlestown Road,Phoenixville,Pennsylvania,19460,610
Valparaiso University,1700 Chapel Drive OP Kretzmann Hall,Valparaiso,Indiana,46383,219
VanderCook College of Music,3140 S. Federal St.,Chicago,Illinois,60616,312
Vanderbilt University,2101 West End Avenue,Nashville,Tennessee,37240,615
Vanguard University of Southern California,55 Fair Dr,Costa Mesa,California,92626,714
Vassar College,124 Raymond Ave,Poughkeepsie,New York,12604,845
Vaughn College of Aeronautics and Technology,86-01 23rd Avenue,Flushing,New York,11369,718
Vermont Technical College,1 Main Street,Randolph Center,Vermont,5061,802
Victory University,255 North Highland,Memphis,Tennessee,38111,901
Villanova University,800 Lancaster Avenue,Villanova,Pennsylvania,19085,610
Vincennes University,1002 N First St,Vincennes,Indiana,47591,812
Virginia Commonwealth University,910 W Franklin St,Richmond,Virginia,23284,804
Virginia Intermont College,1013 Moore Street,Bristol,Virginia,24201,276
Virginia Military Institute,,Lexington,Virginia,24450,540
Virginia State University,One Hayden Street,Petersburg,Virginia,23806,804
Virginia Union University,1500 N Lombardy St,Richmond,Virginia,23220,804
Virginia Wesleyan College,1584 Wesleyan Dr,Norfolk,Virginia,23502,757
Viterbo University,900 Viterbo Drive,La Crosse,Wisconsin,54601,608
